Method , Accuracy , Precision , Recall , F1-Score , Hamming Score
DT+BOWV , 0.244(+/-0.017) , 0.292(+/-0.018) , 0.307(+/-0.021) , 0.299(+/-0.019) , 0.142(+/-0.015) 
DT+SV , 0.275(+/-0.016) , 0.319(+/-0.015) , 0.375(+/-0.02) , 0.345(+/-0.017) , 0.144(+/-0.018) 
DT+TF-IDF , 0.263(+/-0.017) , 0.307(+/-0.021) , 0.335(+/-0.017) , 0.321(+/-0.019) , 0.154(+/-0.016) 
DT+SV+TF-IDF , 0.301(+/-0.015) , 0.356(+/-0.02) , 0.361(+/-0.02) , 0.358(+/-0.019) , 0.193(+/-0.012) 
DT+TF-IDF+BOWV , 0.275(+/-0.014) , 0.325(+/-0.019) , 0.336(+/-0.015) , 0.33(+/-0.016) , 0.173(+/-0.013) 
DT+SV+BOWV , 0.286(+/-0.012) , 0.332(+/-0.014) , 0.368(+/-0.018) , 0.349(+/-0.015) , 0.169(+/-0.011) 
DT+SV+TF-IDF+BOWV , 0.277(+/-0.013) , 0.321(+/-0.015) , 0.373(+/-0.015) , 0.345(+/-0.015) , 0.147(+/-0.015) 
LR+BOWV , 0.377(+/-0.008) , 0.405(+/-0.009) , 0.698(+/-0.021) , 0.513(+/-0.011) , 0.131(+/-0.008) 
LR+SV , 0.427(+/-0.014) , 0.45(+/-0.017) , 0.764(+/-0.018) , 0.566(+/-0.017) , 0.147(+/-0.014) 
LR+TF-IDF , 0.43(+/-0.011) , 0.46(+/-0.012) , 0.7(+/-0.018) , 0.555(+/-0.012) , 0.183(+/-0.014) 
LR+SV+TF-IDF , 0.469(+/-0.014) , 0.5(+/-0.014) , 0.734(+/-0.02) , 0.595(+/-0.015) , 0.212(+/-0.015) 
LR+TF-IDF+BOWV , 0.44(+/-0.01) , 0.473(+/-0.011) , 0.702(+/-0.021) , 0.565(+/-0.012) , 0.194(+/-0.015) 
LR+SV+BOWV , 0.443(+/-0.012) , 0.47(+/-0.013) , 0.742(+/-0.02) , 0.575(+/-0.015) , 0.179(+/-0.012) 
LR+SV+TF-IDF+BOWV , 0.464(+/-0.012) , 0.497(+/-0.013) , 0.715(+/-0.022) , 0.586(+/-0.015) , 0.216(+/-0.014) 
GNB+BOWV , 0.281(+/-0.013) , 0.297(+/-0.015) , 0.648(+/-0.019) , 0.407(+/-0.017) , 0.097(+/-0.012) 
GNB+SV , 0.339(+/-0.014) , 0.357(+/-0.016) , 0.71(+/-0.02) , 0.475(+/-0.018) , 0.072(+/-0.012) 
GNB+TF-IDF , 0.271(+/-0.011) , 0.286(+/-0.012) , 0.747(+/-0.019) , 0.414(+/-0.013) , 0.026(+/-0.007) 
GNB+SV+TF-IDF , 0.288(+/-0.013) , 0.303(+/-0.015) , 0.751(+/-0.019) , 0.432(+/-0.017) , 0.033(+/-0.008) 
GNB+TF-IDF+BOWV , 0.289(+/-0.011) , 0.303(+/-0.012) , 0.738(+/-0.017) , 0.43(+/-0.014) , 0.036(+/-0.005) 
GNB+SV+BOWV , 0.321(+/-0.017) , 0.337(+/-0.019) , 0.698(+/-0.02) , 0.454(+/-0.021) , 0.084(+/-0.016) 
GNB+SV+TF-IDF+BOWV , 0.304(+/-0.013) , 0.32(+/-0.015) , 0.742(+/-0.021) , 0.447(+/-0.017) , 0.043(+/-0.007) 
SVC+BOWV , 0.335(+/-0.009) , 0.355(+/-0.011) , 0.716(+/-0.017) , 0.474(+/-0.012) , 0.091(+/-0.008) 
SVC+SV , 0.32(+/-0.02) , 0.336(+/-0.022) , 0.708(+/-0.019) , 0.456(+/-0.021) , 0.053(+/-0.022) 
SVC+TF-IDF , 0.148(+/-0.042) , 0.161(+/-0.038) , 0.448(+/-0.238) , 0.231(+/-0.072) , 0.003(+/-0.004) 
SVC+SV+TF-IDF , 0.196(+/-0.038) , 0.212(+/-0.032) , 0.507(+/-0.197) , 0.295(+/-0.065) , 0.014(+/-0.016) 
SVC+TF-IDF+BOWV , 0.302(+/-0.015) , 0.32(+/-0.016) , 0.696(+/-0.022) , 0.438(+/-0.018) , 0.076(+/-0.013) 
SVC+SV+BOWV , 0.333(+/-0.011) , 0.352(+/-0.013) , 0.717(+/-0.019) , 0.472(+/-0.015) , 0.09(+/-0.011) 
SVC+SV+TF-IDF+BOWV , 0.307(+/-0.013) , 0.324(+/-0.014) , 0.699(+/-0.021) , 0.442(+/-0.017) , 0.077(+/-0.01) 
MLP+BOWV , 0.392(+/-0.016) , 0.457(+/-0.018) , 0.447(+/-0.017) , 0.452(+/-0.017) , 0.276(+/-0.022) 
MLP+SV , 0.434(+/-0.013) , 0.504(+/-0.016) , 0.484(+/-0.017) , 0.494(+/-0.016) , 0.319(+/-0.013) 
MLP+TF-IDF , 0.404(+/-0.007) , 0.466(+/-0.011) , 0.494(+/-0.012) , 0.479(+/-0.009) , 0.26(+/-0.01) 
MLP+SV+TF-IDF , 0.44(+/-0.014) , 0.504(+/-0.013) , 0.527(+/-0.021) , 0.515(+/-0.015) , 0.295(+/-0.018) 
MLP+TF-IDF+BOWV , 0.42(+/-0.012) , 0.481(+/-0.014) , 0.508(+/-0.007) , 0.494(+/-0.01) , 0.28(+/-0.018) 
MLP+SV+BOWV , 0.437(+/-0.022) , 0.504(+/-0.02) , 0.498(+/-0.032) , 0.501(+/-0.025) , 0.313(+/-0.021) 
MLP+SV+TF-IDF+BOWV , 0.438(+/-0.01) , 0.501(+/-0.011) , 0.528(+/-0.014) , 0.514(+/-0.011) , 0.291(+/-0.013) 
XGB+BOWV , 0.415(+/-0.011) , 0.447(+/-0.012) , 0.68(+/-0.015) , 0.539(+/-0.012) , 0.176(+/-0.014) 
XGB+SV , 0.447(+/-0.009) , 0.478(+/-0.011) , 0.732(+/-0.014) , 0.578(+/-0.011) , 0.177(+/-0.015) 
XGB+TF-IDF , 0.409(+/-0.015) , 0.439(+/-0.016) , 0.696(+/-0.013) , 0.538(+/-0.015) , 0.143(+/-0.02) 
XGB+SV+TF-IDF , 0.464(+/-0.009) , 0.496(+/-0.009) , 0.737(+/-0.013) , 0.593(+/-0.009) , 0.197(+/-0.014) 
XGB+TF-IDF+BOWV , 0.442(+/-0.011) , 0.476(+/-0.01) , 0.701(+/-0.013) , 0.567(+/-0.011) , 0.195(+/-0.015) 
XGB+SV+BOWV , 0.457(+/-0.01) , 0.489(+/-0.01) , 0.725(+/-0.014) , 0.584(+/-0.011) , 0.199(+/-0.012) 
XGB+SV+TF-IDF+BOWV , 0.472(+/-0.012) , 0.509(+/-0.012) , 0.733(+/-0.011) , 0.601(+/-0.011) , 0.212(+/-0.015) 
CB+BOWV , 0.293(+/-0.016) , 0.343(+/-0.016) , 0.302(+/-0.015) , 0.321(+/-0.015) , 0.237(+/-0.018) 
CB+SV , 0.364(+/-0.014) , 0.426(+/-0.016) , 0.382(+/-0.014) , 0.403(+/-0.014) , 0.286(+/-0.016) 
CB+TF-IDF , 0.318(+/-0.018) , 0.373(+/-0.02) , 0.333(+/-0.018) , 0.351(+/-0.019) , 0.252(+/-0.019) 
CB+SV+TF-IDF , 0.386(+/-0.013) , 0.453(+/-0.012) , 0.409(+/-0.014) , 0.43(+/-0.012) , 0.3(+/-0.017) 
CB+TF-IDF+BOWV , 0.343(+/-0.018) , 0.401(+/-0.019) , 0.357(+/-0.017) , 0.378(+/-0.018) , 0.273(+/-0.021) 
CB+SV+BOWV , 0.371(+/-0.016) , 0.433(+/-0.016) , 0.388(+/-0.018) , 0.41(+/-0.016) , 0.295(+/-0.017) 
CB+SV+TF-IDF+BOWV , 0.383(+/-0.016) , 0.448(+/-0.013) , 0.402(+/-0.017) , 0.424(+/-0.015) , 0.303(+/-0.018) 
